freq,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,PC_GEXP,AT	1.50 d	1.54 d	1.53 d	1.57 d	1.60 	1.58 d	1.55 d	1.55 d	1.51 d	1.44 d	1.52 d	1.64 d
A,PC_GEXP,BE	1.14 	1.14 	1.22 	1.13 	1.17 	1.27 	1.22 	1.34 	1.25 	1.32 	1.30 	1.22 
A,PC_GEXP,BG	0.70 	0.65 	0.57 	0.59 	0.57 	0.60 	0.55 	0.61 	0.57 	0.56 	0.53 	0.58 
A,PC_GEXP,CH	2.59 	: 	2.58 	2.62 	: 	2.97 b	2.85 	2.90 	2.72 	2.77 	2.96 	2.94 
A,PC_GEXP,CY	0.66 	0.72 	0.68 	0.77 	0.79 	0.80 	0.70 	0.85 	1.14 	1.01 	1.03 	1.05 
A,PC_GEXP,CZ	1.43 	1.51 	1.47 	1.43 	1.47 	1.54 	1.52 	1.51 	1.41 	1.35 	1.27 	1.17 
A,PC_GEXP,DE	1.91 	1.96 	1.92 	1.93 	1.98 	2.03 	2.07 	2.11 	2.11 	2.17 	2.22 	2.18 
A,PC_GEXP,DK	1.73 	1.83 	1.82 	1.85 	1.73 	1.75 p	1.76 p	1.80 	1.82 e	1.82 e	1.81 e	1.86 e
A,PC_GEXP,EA19	1.39 e	1.39 e	1.38 e	1.37 	1.40 	1.42 	1.45 	1.48 	1.46 	1.51 	1.53 	1.52 
A,PC_GEXP,EA20	1.39 e	1.38 e	1.38 e	1.37 	1.40 	1.42 	1.45 	1.48 	1.46 	1.51 	1.53 	1.52 
A,PC_GEXP,EE	2.05 e	2.10 e	1.85 e	1.70 	1.68 	1.51 	1.78 	1.57 	1.50 	1.63 	1.79 	2.04 
A,PC_GEXP,EL	0.68 	0.75 	0.86 	0.96 	1.08 	1.03 	1.27 	1.46 	1.47 	1.48 	1.40 	1.15 b
A,PC_GEXP,ES	1.21 	1.20 	1.23 	1.27 	1.28 	1.25 	1.25 	1.23 	1.20 	1.23 	1.26 	1.32 
A,PC_GEXP,EU27_2020	1.37 e	1.38 e	1.37 e	1.37 e	1.38 	1.40 p	1.42 p	1.45 	1.43 e	1.47 e	1.48 e	1.47 e
A,PC_GEXP,FI	1.85 	1.74 	1.69 	1.71 	1.54 	1.59 	1.60 	1.60 	1.71 	1.63 	1.71 	1.54 
A,PC_GEXP,FR	1.25 	1.21 	1.18 	1.12 	1.10 	1.12 	1.17 	1.14 	1.11 	1.18 	1.15 	1.13 
